card_name,card_en,position,한줄_키워드,해설_텍스트,어드바이스,럭키_에너지,생성시각
펜타클 3,3 of Pentacles,역위치,갓생 리부트,"협업 바이브가 살짝 엇박자라면? 그건 유니버스가 보내는 '솔로 플레이' 시그널이야! 펜타클 3 역위치는 지금 타인에게 맞추기보다 너만의 고유한 에너지를 리딩해야 할 타이밍임을 말해줘. 억지로 팀워크에 에너지를 쏟기보다 잠시 멈춰서 셀프러브를 충전해 봐. 이건 무너진 게 아니라, 더 힙한 결과물을 위해 기초를 다시 셋팅하는 럭키한 리셋 타임이야.",남의 시선은 잠시 Off! 시성비 따지지 말고 오직 너의 추구미에만 집중하는 개인 정비 시간을 가져봐. 네 안의 장인 정신을 깨울 때야.,"딥그린, 차분한 명상",2026-03-07 19:19:33
완드 9,9 of Wands,정위치,갓벽한 존버,"지금까지 달려온 너, 솔직히 폼 미쳤다! 완드 9는 네가 쌓아온 노력의 빌드업이 정점에 달했다는 유니버스가 보내는 시그널이야. 조금 지쳤을 수도 있지만, 이건 네 에너지가 부족해서가 아니라 마지막 결승선을 앞둔 텐션 리딩일 뿐! 네가 지켜온 가치와 추구미는 절대 배신하지 않아. 럭키비키하게도 넌 이미 이길 준비가 다 된 상태거든. 이 바이브 그대로 마지막 한 걸음만 더 가보자!",잠시 숨 고르며 셀프러브 타임 가지기! 네가 이룬 성과들을 리마인드하며 단단한 마인드셋을 장착해봐. 넌 이미 충분히 강해.,"브라운, 끈기",2026-03-07 19:24:12
은둔자,The Hermit,정위치,딥한 갓생 타임,"지금은 외부의 노이즈를 끄고 내면의 바이브에 집중할 시간이야. 유니버스가 보내는 '로그아웃' 시그널을 캐치해봐! 남들이 뭐라든 나만의 속도로 걷는 네 모습이 진짜 힙한 거 알지? 혼자 보내는 시간이 외로움이 아니라, 더 단단한 '나'를 만드는 셀프러브 과정이라고 생각하면 마음이 편해질 거야. 너만의 고유한 빛을 찾는 중이니까 서두르지 않아도 괜찮아.",폰은 잠시 방해금지 모드로! 따뜻한 차 한 잔과 함께 오늘의 감정을 기록하며 온전한 미닝아웃의 시간을 가져봐.,"미드나잇 블루, 고요함",2026-03-07 19:45:46
힘,Strength,역위치,말랑한 휴식,"지금은 갓생 살기 잠시 멈추고 ‘나’를 1순위로 두라는 유니버스의 힙한 시그널이야. 에너지가 방전된 게 아니라, 더 큰 도약을 위해 내면의 사자를 쓰다듬어주는 부드러운 리셋 타임인 거지! 억지로 텐션 올릴 필요 없어. 지금 이 로우파이(Lo-fi)한 바이브 그대로가 가장 너다우니까.",남의 시선 말고 내 마음의 소리에 집중해 봐. 따뜻한 차 한 잔과 함께하는 셀프러브 타임이 오늘의 정답!,"파스텔 옐로우, 포근함",2026-03-07 19:56:07
소드 2,2 of Swords,정위치,고요한 밸런스,"두 눈을 가리고 검을 교차한 채 내면에 집중하는 이 바이브, 느껴져? 지금 유니버스가 당신에게 '잠시 멈춤' 시그널을 보내는 중이야. 외부 소음은 잠시 차단하고 오직 내 목소리에만 귀 기울여봐. 이건 결정 장애가 아니라, 가장 나다운 선택을 하기 위해 에너지를 응축하는 쿨한 고립의 시간이니까. 완벽한 평온함 속에서 당신만의 정답이 보일 거야.",알림 설정은 잠시 Off! 명상이나 혼자만의 산책으로 감정의 수평을 맞춰봐. 외부 의견보다 내 안의 느낌이 정답이야. 셀프러브 타임을 가져보자.,"실버, 미니멀리즘",2026-03-07 19:59:16
완드 여왕,Queen of Wands,역위치,에너지 리셋,"지금은 갓생 살기 잠시 멈추고 내면의 불꽃을 다듬는 쿨다운 타임! 열정이 살짝 번아웃되려 한다면 그건 유니버스가 보내는 '셀프러브' 시그널이야. 남의 시선에 맞춘 텐션 말고, 오직 나만을 위한 에너지를 충전할 때 더 힙한 바이브가 살아나거든. 잠시 왕좌에서 내려와 편하게 쉬어도 당신의 아우라는 어디 안 가니까 걱정 마!",남을 챙기기보다 나를 위한 플렉스 어때? 좋아하는 향초를 켜거나 멍때리며 에너지를 리딩해봐. 무리한 약속은 다음으로 미루는 게 정답!,"딥 옐로우, 여유",2026-03-07 19:59:43
컵 5,5 of 컵,정위치,갓벽한 리셋,"쏟아진 세 개의 컵에 미련 두지 마요. 이건 유니버스가 더 힙한 바이브를 채워주려고 보낸 강력한 '비움' 시그널이니까! 남은 두 개의 컵이 내뿜는 에너지를 리딩해보면, 진짜 소중한 건 여전히 네 곁에 있다는 걸 알게 될 거예요. 슬픈 감성조차 나를 알아가는 과정으로 즐기는 '셀프러브' 모먼트가 필요한 타이밍입니다.","과거의 무드에서 로그아웃하고, 뒤에 남은 럭키한 기회들에 채널 고정하기! 지금 바로 고개를 돌려 새로운 폼을 확인해봐.","딥 블루, 회복",2026-03-07 20:08:14
컵 4,4 of Cups,역위치,새로운 각성,"지루했던 루틴은 이제 끝! 컵 4 역위치는 네가 드디어 고개를 들어 유니버스가 보내는 힙한 시그널을 캐치했다는 증거야. 마음의 문을 닫고 있던 정체기 바이브에서 벗어나 새로운 도파민을 찾아 나서는 리셋 타임이 왔어. 에너지 리딩 결과, 네 주위엔 이미 멋진 기회들이 널려있으니 그저 손만 뻗으면 돼. 갓생을 향한 너의 열정이 다시 깨어나는 순간이야!",침대 밖으로 나와서 낯선 카페에 가보거나 새로운 플레이리스트를 들어봐. 셀프러브를 실천하며 세상이 주는 선물에 '예스'라고 답할 준비를 하는 게 오늘의 미션!,"오렌지, 생동감",2026-03-07 20:13:22
악마,The Devil,역위치,해방과 리셋,"답답했던 집착의 체인이 풀리는 순간! 유니버스가 너에게 '이제 자유야'라고 보내는 강력한 시그널이야. 그동안 너를 짓눌렀던 부정적인 바이브나 가스라이팅에서 벗어나 진정한 너의 색깔을 찾는 중이지. 에너지 리딩 결과, 지금은 스스로를 가뒀던 프레임을 깨고 나오는 럭키비키한 터닝 포인트야. 이제 너만의 갓생 루트를 개척할 차례!","불필요한 관계나 습관은 과감히 '삭제'하고, 오직 너의 행복에만 집중하는 셀프러브 타임을 가져봐. 네 마음이 시키는 대로 움직이는 게 정답이야.","퓨어 화이트, 해방감",2026-03-07 20:18:07
교황,The Hierophant,역위치,언박싱 유어셀프,"틀에 박힌 루틴은 이제 로그아웃! 교황 역위치는 지금이 바로 너만의 독보적인 바이브를 깨울 리셋 타임이라는 유니버스의 시그널이야. 뻔한 정답이나 꼰대 같은 조언 대신, 네 안의 힙한 직관을 믿어봐. 남들의 시선에서 벗어나 '나다운 게 뭔지' 새로 정의하는 순간, 에너지 리딩은 이미 갓생 그 자체니까!",고정관념은 딜리트! 오늘은 남의 말보다 내 마음이 시키는 대로 파격적인 선택을 해봐. 셀프러브가 곧 최고의 정답이야.,"네온 옐로우, 자유로움",2026-03-07 20:39:51
